titratable_acidity,fat_milk_over_100mg_,pH_sour_milk_initial,streptococcus_strain_,lactobacillus_strain_,minimum_milk_proteins,ideal_temperature_c,quality_product
1.156,3.654,4.49,5.147,4.807,2.627,40.117,Regular yogurt
1.189,3.8717,4.562,5.753,5.29,2.593,41.8,Regular yogurt
0.968,3.9639,4.454,5.161,5.049,2.589,41.108,Regular yogurt
0.96,2.3263,4.571,4.632,4.083,2.606,41.382,Low fat yogurt
1.009,1.7294,4.443,5.279,4.552,2.56,40.067,Low fat yogurt
1.178,2.699,4.543,5.868,5.924,2.579,40.066,Low fat yogurt
1.013,1.0932,4.584,5.785,4.457,2.606,40.985,Non fat yogurt
0.954,2.1941,4.512,5.23,4.458,2.649,40.426,Low fat yogurt
1.013,3.0941,4.578,4.455,4.919,2.543,40.417,Low fat yogurt
1.05,2.228,4.503,4.771,4.582,2.509,41.911,Low fat yogurt
1.009,3.7472,4.579,4.099,5.87,2.642,40.691,Regular yogurt
1.004,2.3775,4.59,4.224,5.059,2.422,40.924,Low fat yogurt
1.07,1.2698,4.422,5.047,4.812,2.531,41.181,Low fat yogurt
1.033,1.9401,4.423,4.188,4.678,2.523,40.632,Low fat yogurt
0.971,3.4352,4.535,5.424,5.489,2.517,41.62,Regular yogurt
0.956,3.4376,4.42,5.297,5.836,2.487,41.782,Regular yogurt
1.023,3.309,4.596,4.356,4.852,2.557,41.574,Regular yogurt
1.003,1.5885,4.467,4.556,5.843,2.649,41.507,Low fat yogurt
1.029,3.5525,4.458,5.614,4.631,2.581,40.45,Regular yogurt
1.124,3.5124,4.497,5.595,5.744,2.686,41.166,Regular yogurt
1.121,1.9336,4.508,4.298,4.178,2.662,41.881,Low fat yogurt
0.996,1.2857,4.484,5.309,5.106,2.441,40.04,Low fat yogurt
1.181,1.2407,4.566,5.42,4.212,2.593,41.643,Low fat yogurt
1.144,3.5573,4.594,5.49,4.997,2.448,40.366,Regular yogurt
1.071,2.0452,4.464,4.425,5.355,2.636,40.225,Low fat yogurt
1.065,2.9419,4.485,4.719,4.278,2.639,41.696,Low fat yogurt
1.032,2.7389,4.548,4.361,4.866,2.64,40.667,Low fat yogurt
1.089,3.9298,4.467,5.339,5.115,2.574,41.48,Regular yogurt
1.175,2.447,4.403,4.334,5.207,2.696,41.938,Low fat yogurt
1.121,3.0564,4.506,5.33,4.802,2.506,40.347,Low fat yogurt
1.027,3.1939,4.569,5.26,4.507,2.411,40.948,Low fat yogurt
1.014,1.3064,4.417,5.951,4.362,2.491,40.247,Low fat yogurt
1.138,2.0918,4.488,5.2,5.258,2.623,40.104,Low fat yogurt
0.99,2.1993,4.454,5.791,4.32,2.532,41.413,Low fat yogurt
0.952,3.9809,4.452,5.584,4.061,2.421,40.235,Regular yogurt
1.081,2.8014,4.499,5.373,5.144,2.636,40.138,Low fat yogurt
0.987,2.0768,4.598,4.356,5.467,2.683,41.043,Low fat yogurt
1.172,1.0712,4.481,5.77,4.975,2.608,40.597,Non fat yogurt
0.974,3.6008,4.571,4.634,5.477,2.649,41.445,Regular yogurt
1.024,1.5978,4.469,5.834,5.635,2.573,41.742,Low fat yogurt
1.157,2.6605,4.59,4.347,5.765,2.635,40.531,Low fat yogurt
1.039,1.1726,4.486,4.372,5.074,2.599,40.48,Low fat yogurt
1.093,2.5974,4.407,4.847,5.734,2.698,41.664,Low fat yogurt
1.157,3.8553,4.585,4.302,4.673,2.526,41.205,Regular yogurt
1.157,2.1816,4.411,4.754,4.975,2.643,41.631,Low fat yogurt
1.008,2.717,4.403,5.456,5.788,2.477,40.128,Low fat yogurt
0.95,1.3657,4.492,4.519,5.561,2.458,40.109,Low fat yogurt
1.168,1.2263,4.592,5.901,5.255,2.472,40.161,Low fat yogurt
0.952,1.0238,4.466,4.678,5.696,2.682,41.114,Non fat yogurt
1.057,2.7756,4.514,4.766,5.277,2.466,41.894,Low fat yogurt
1.182,1.3893,4.43,5.384,5.742,2.691,40.094,Low fat yogurt
1.119,2.4545,4.445,5.781,4.371,2.553,41.651,Low fat yogurt
1.156,1.4016,4.468,5.971,4.283,2.605,40.777,Low fat yogurt
0.967,3.2606,4.54,5.375,5.173,2.541,40.272,Regular yogurt
1.061,1.835,4.555,5.611,5.737,2.486,41.652,Low fat yogurt
1.117,1.5763,4.462,5.259,5.196,2.523,41.416,Low fat yogurt
1.157,2.2024,4.498,4.898,5.952,2.499,40.508,Low fat yogurt
1.114,1.3631,4.587,4.088,4.666,2.592,41.661,Low fat yogurt
1.065,2.1724,4.587,5.69,5.499,2.601,40.614,Low fat yogurt
1.158,2.1132,4.502,4.567,4.107,2.7,41.713,Low fat yogurt
0.984,2.0082,4.496,4.111,4.444,2.443,41.557,Low fat yogurt
1.047,3.4553,4.572,5.571,5.082,2.616,40.878,Regular yogurt
1.081,2.2123,4.423,4.269,4.565,2.565,40.697,Low fat yogurt
1.073,1.0509,4.417,4.025,5.791,2.595,41.102,Non fat yogurt
1.135,2.4586,4.586,4.709,5.089,2.548,40.878,Low fat yogurt
1.174,3.988,4.488,4.466,5.035,2.442,40.66,Regular yogurt
1.143,3.1573,4.453,4.532,4.238,2.637,40.3,Low fat yogurt
1.084,2.9953,4.494,5.759,5.906,2.596,40.378,Low fat yogurt
0.961,3.905,4.488,4.281,4.247,2.679,41.171,Regular yogurt
1.136,3.1476,4.499,5.268,5.235,2.459,40.752,Low fat yogurt
1.166,3.335,4.593,5.405,4.759,2.412,41.904,Regular yogurt
1.112,3.9765,4.428,5.277,4.106,2.529,40.301,Regular yogurt
1.151,2.13,4.518,4.778,4.339,2.68,41.239,Low fat yogurt
1.039,2.4053,4.402,4.284,4.23,2.575,40.535,Low fat yogurt
1.105,1.3259,4.512,4.925,5.88,2.46,40.658,Low fat yogurt
1.006,1.976,4.56,5.965,5.264,2.696,41.567,Low fat yogurt
1.0,2.4595,4.514,4.121,5.477,2.597,41.909,Low fat yogurt
1.051,1.9314,4.413,4.249,5.768,2.402,41.12,Low fat yogurt
1.167,3.2377,4.564,5.945,4.872,2.406,40.836,Low fat yogurt
1.042,2.7784,4.583,5.002,4.905,2.41,40.133,Low fat yogurt
1.074,2.4027,4.547,4.192,4.758,2.651,40.733,Low fat yogurt
1.03,2.3852,4.446,4.877,4.907,2.489,40.801,Low fat yogurt
1.051,2.264,4.54,4.662,5.908,2.555,41.995,Low fat yogurt
1.084,1.3118,4.438,5.33,5.152,2.446,41.236,Low fat yogurt
1.148,1.1009,4.443,4.474,5.724,2.574,40.206,Low fat yogurt
1.086,2.6729,4.539,4.172,5.347,2.472,40.109,Low fat yogurt
1.05,3.2817,4.41,5.437,5.224,2.514,41.24,Regular yogurt
1.125,2.2112,4.515,5.907,5.522,2.577,41.928,Low fat yogurt
1.088,1.0161,4.51,5.815,4.652,2.675,40.003,Non fat yogurt
1.098,1.6453,4.513,5.153,4.172,2.486,41.872,Low fat yogurt
1.079,3.311,4.588,4.421,5.785,2.443,41.761,Regular yogurt
0.959,1.779,4.515,4.225,5.337,2.443,41.951,Low fat yogurt
1.18,3.6615,4.479,5.831,5.514,2.46,40.736,Regular yogurt
0.954,3.4681,4.423,4.039,5.637,2.566,41.542,Regular yogurt
0.978,2.7768,4.436,5.991,5.891,2.527,40.974,Low fat yogurt
1.094,3.3827,4.46,5.433,5.783,2.508,40.693,Regular yogurt
1.101,1.2186,4.537,5.882,4.461,2.575,40.633,Low fat yogurt
1.154,3.243,4.496,4.865,5.564,2.69,41.523,Low fat yogurt
1.024,1.7256,4.595,4.418,4.776,2.555,40.989,Low fat yogurt
1.188,3.2635,4.495,4.028,5.762,2.4,41.254,Regular yogurt
1.166,1.047,4.588,4.103,4.802,2.672,40.001,Non fat yogurt
0.977,3.7789,4.441,5.56,4.592,2.547,41.062,Regular yogurt
1.081,1.6607,4.531,4.988,5.73,2.678,40.626,Low fat yogurt
0.951,3.9093,4.494,4.197,5.634,2.463,41.627,Regular yogurt
1.063,3.5752,4.457,4.461,4.56,2.582,40.809,Regular yogurt
1.107,3.5158,4.538,4.578,5.443,2.462,40.42,Regular yogurt
1.154,2.8391,4.553,5.174,5.14,2.669,40.329,Low fat yogurt
1.136,3.9407,4.405,4.872,4.561,2.586,41.006,Regular yogurt
1.067,2.7537,4.597,5.692,4.984,2.681,41.388,Low fat yogurt
1.102,1.842,4.53,5.222,5.743,2.479,40.672,Low fat yogurt
1.055,3.9048,4.563,4.759,4.421,2.67,41.749,Regular yogurt
1.141,3.4581,4.584,5.645,5.689,2.634,41.657,Regular yogurt
0.994,2.9174,4.464,4.155,5.644,2.605,40.406,Low fat yogurt
1.125,1.217,4.517,5.313,5.656,2.654,41.272,Low fat yogurt
1.154,2.3175,4.474,4.202,4.449,2.674,40.81,Low fat yogurt
0.96,3.7043,4.583,4.084,5.103,2.644,41.255,Regular yogurt
0.965,3.1824,4.485,5.721,5.72,2.657,41.396,Low fat yogurt
1.061,3.2018,4.477,5.272,5.627,2.563,41.979,Low fat yogurt
0.967,1.7315,4.445,5.948,4.278,2.426,41.84,Low fat yogurt
0.955,2.3419,4.43,5.459,5.334,2.521,40.692,Low fat yogurt
1.024,2.716,4.527,5.189,4.164,2.542,40.134,Low fat yogurt
1.101,2.0978,4.44,4.165,5.795,2.685,41.994,Low fat yogurt
1.146,1.4256,4.429,4.615,5.137,2.695,41.022,Low fat yogurt
1.06,3.9187,4.58,4.374,4.262,2.649,40.875,Regular yogurt
0.961,1.7718,4.466,5.092,5.994,2.469,41.935,Low fat yogurt
1.015,1.8092,4.482,4.588,5.514,2.469,40.815,Low fat yogurt
0.965,3.5122,4.496,5.577,5.23,2.577,41.02,Regular yogurt
1.16,2.8312,4.52,5.621,5.566,2.654,40.889,Low fat yogurt
1.022,2.8194,4.422,4.992,5.275,2.472,40.462,Low fat yogurt
1.132,2.2637,4.484,5.885,5.876,2.485,41.784,Low fat yogurt
1.044,3.1549,4.525,4.422,5.55,2.53,41.808,Low fat yogurt
1.043,1.8773,4.425,5.418,4.722,2.478,40.02,Low fat yogurt
1.128,2.6142,4.419,4.508,4.654,2.646,41.735,Low fat yogurt
1.18,1.7398,4.446,5.326,5.608,2.668,41.974,Low fat yogurt
1.177,1.5073,4.497,4.803,5.711,2.576,41.523,Low fat yogurt
1.088,2.6236,4.572,4.891,4.304,2.687,41.922,Low fat yogurt
1.027,2.5216,4.463,5.595,5.25,2.494,41.544,Low fat yogurt
1.087,1.523,4.575,5.223,4.414,2.516,40.998,Low fat yogurt
1.077,2.6659,4.482,5.416,5.694,2.506,40.608,Low fat yogurt
1.063,2.7501,4.424,5.092,4.06,2.601,41.931,Low fat yogurt
1.085,3.5765,4.493,4.106,4.387,2.403,41.053,Regular yogurt
1.184,3.9806,4.473,4.611,5.953,2.614,40.154,Regular yogurt
0.981,1.1687,4.405,4.041,5.2,2.429,41.74,Low fat yogurt
1.177,1.9305,4.426,4.655,5.453,2.61,41.139,Low fat yogurt
0.96,2.4563,4.486,5.087,4.469,2.634,40.263,Low fat yogurt
1.112,2.6321,4.525,4.138,5.283,2.69,40.245,Low fat yogurt
1.074,2.293,4.451,4.055,5.472,2.492,41.592,Low fat yogurt
1.175,3.8903,4.544,4.553,5.379,2.416,41.87,Regular yogurt
1.145,2.557,4.502,5.423,4.352,2.648,40.495,Low fat yogurt
0.97,3.9476,4.534,4.007,5.569,2.64,41.663,Regular yogurt
0.964,3.658,4.423,5.66,5.345,2.406,41.144,Regular yogurt
1.094,2.1918,4.428,4.994,5.286,2.644,41.223,Low fat yogurt
1.159,1.911,4.506,4.339,5.112,2.561,40.011,Low fat yogurt
0.977,2.9556,4.456,5.463,4.28,2.406,40.181,Low fat yogurt
1.144,1.6643,4.584,4.714,5.063,2.695,40.756,Low fat yogurt
1.008,1.2045,4.408,4.157,5.85,2.451,40.593,Low fat yogurt
1.188,1.6936,4.419,5.513,5.899,2.592,41.463,Low fat yogurt
1.071,1.6609,4.574,4.504,5.503,2.659,41.69,Low fat yogurt
1.006,2.536,4.514,5.59,4.698,2.442,40.634,Low fat yogurt
1.098,3.5445,4.598,4.121,5.995,2.628,41.595,Regular yogurt
1.093,1.2353,4.544,5.797,4.554,2.691,41.253,Low fat yogurt
1.079,3.6912,4.596,5.065,4.296,2.531,40.836,Regular yogurt
1.036,2.5193,4.474,4.028,4.788,2.568,40.573,Low fat yogurt
1.006,1.2111,4.473,5.571,4.765,2.509,41.03,Low fat yogurt
1.121,1.8468,4.473,5.284,5.907,2.567,40.059,Low fat yogurt
1.062,3.8238,4.506,5.617,4.314,2.437,40.879,Regular yogurt
1.147,3.7089,4.459,5.373,5.817,2.408,40.021,Regular yogurt
1.149,3.7113,4.432,4.344,4.912,2.531,40.501,Regular yogurt
1.0,3.1771,4.573,5.817,4.882,2.586,40.9,Low fat yogurt
1.186,1.7303,4.549,5.674,4.51,2.515,40.273,Low fat yogurt
1.168,2.0429,4.433,5.555,4.546,2.646,40.25,Low fat yogurt
1.089,2.0638,4.422,4.222,4.201,2.692,41.206,Low fat yogurt
1.148,3.3965,4.483,4.039,5.165,2.698,41.475,Regular yogurt
1.098,3.0967,4.538,5.264,4.689,2.597,41.07,Low fat yogurt
1.101,2.2974,4.516,5.166,5.226,2.594,40.335,Low fat yogurt
0.992,3.2703,4.43,4.955,5.093,2.493,40.689,Regular yogurt
1.071,3.0874,4.424,4.855,4.872,2.487,41.414,Low fat yogurt
1.074,3.6683,4.471,5.812,4.272,2.459,41.088,Regular yogurt
1.088,3.6377,4.404,5.222,5.011,2.47,41.568,Regular yogurt
1.073,3.3536,4.531,5.695,4.506,2.462,40.123,Regular yogurt
0.987,1.3798,4.427,5.092,4.445,2.409,41.449,Low fat yogurt
1.177,2.4891,4.6,5.779,5.685,2.477,41.227,Low fat yogurt
0.961,2.4334,4.427,4.211,5.946,2.686,41.263,Low fat yogurt
1.173,1.4961,4.549,5.669,5.495,2.432,40.407,Low fat yogurt
0.969,2.4934,4.476,5.945,4.361,2.683,41.165,Low fat yogurt
1.076,3.4054,4.598,4.097,4.698,2.542,40.76,Regular yogurt
1.176,2.6989,4.538,4.404,4.677,2.404,40.545,Low fat yogurt
0.994,2.5572,4.569,5.689,4.356,2.405,41.147,Low fat yogurt
1.152,2.9088,4.487,5.805,5.686,2.547,41.175,Low fat yogurt
1.061,3.8248,4.558,4.393,4.284,2.628,41.522,Regular yogurt
1.188,1.069,4.502,4.297,4.819,2.649,41.158,Non fat yogurt
1.141,2.0682,4.41,4.146,4.692,2.631,40.074,Low fat yogurt
1.159,2.5341,4.457,4.603,5.891,2.655,40.247,Low fat yogurt
1.178,2.9865,4.582,5.333,4.316,2.427,41.936,Low fat yogurt
1.122,2.0708,4.411,4.824,4.804,2.448,41.74,Low fat yogurt
1.099,1.1394,4.507,5.031,4.38,2.505,40.237,Low fat yogurt
1.031,3.9189,4.546,5.472,5.554,2.45,40.183,Regular yogurt
1.189,3.2723,4.427,5.764,5.354,2.487,40.91,Regular yogurt
1.106,1.3124,4.411,5.162,5.127,2.581,40.497,Low fat yogurt
0.958,1.2129,4.473,4.373,4.655,2.439,40.908,Low fat yogurt
1.135,1.1138,4.44,5.839,4.095,2.617,41.184,Low fat yogurt
1.122,1.5976,4.5,5.64,4.744,2.447,40.686,Low fat yogurt
1.086,1.6336,4.456,4.002,4.077,2.567,41.102,Low fat yogurt
1.05,2.9565,4.493,5.55,5.988,2.696,41.287,Low fat yogurt
1.037,3.3768,4.503,4.569,4.215,2.576,40.077,Regular yogurt
1.09,1.6871,4.483,5.556,4.0,2.683,40.943,Low fat yogurt
0.985,2.9136,4.504,4.644,4.85,2.677,41.651,Low fat yogurt
1.0,3.0964,4.407,5.897,4.501,2.511,41.006,Low fat yogurt
1.156,1.5943,4.51,4.046,4.285,2.625,41.994,Low fat yogurt
1.084,3.6092,4.483,5.584,5.477,2.438,40.978,Regular yogurt
0.966,1.6881,4.403,4.033,5.418,2.691,41.463,Low fat yogurt
1.143,2.3019,4.506,5.685,4.211,2.698,40.478,Low fat yogurt
0.956,3.8543,4.45,5.657,4.74,2.492,40.247,Regular yogurt
0.981,3.9302,4.516,4.166,5.395,2.575,41.836,Regular yogurt
1.041,1.143,4.556,4.283,5.424,2.649,41.249,Low fat yogurt
1.092,3.0422,4.527,4.779,5.924,2.508,41.418,Low fat yogurt
1.094,3.2522,4.583,5.018,4.015,2.551,41.438,Regular yogurt
1.012,1.7092,4.511,5.968,4.544,2.444,41.928,Low fat yogurt
1.182,2.3218,4.569,5.334,4.49,2.641,40.329,Low fat yogurt
1.07,2.1753,4.59,5.703,5.892,2.405,41.148,Low fat yogurt
0.957,2.2487,4.562,4.763,5.475,2.632,41.825,Low fat yogurt
1.074,3.9414,4.521,5.748,4.008,2.554,40.24,Regular yogurt
1.034,3.2504,4.496,4.167,4.285,2.481,40.256,Regular yogurt
1.08,1.4659,4.523,4.426,4.444,2.415,41.344,Low fat yogurt
1.072,1.6736,4.457,5.474,4.271,2.478,41.297,Low fat yogurt
1.127,3.8099,4.479,5.02,4.154,2.48,40.696,Regular yogurt
1.085,2.512,4.522,5.219,4.04,2.57,40.302,Low fat yogurt
1.135,1.2573,4.527,4.67,4.349,2.559,41.42,Low fat yogurt
1.177,2.6738,4.595,5.782,5.89,2.564,41.46,Low fat yogurt
0.964,1.6121,4.523,4.364,4.124,2.424,40.118,Low fat yogurt
1.087,3.3487,4.493,4.354,4.787,2.505,40.894,Regular yogurt
1.09,1.638,4.466,4.867,4.301,2.695,40.181,Low fat yogurt
1.045,3.2818,4.407,5.355,5.957,2.478,41.374,Regular yogurt
1.102,3.1198,4.533,5.128,4.54,2.487,40.663,Low fat yogurt
1.165,3.1137,4.528,4.586,4.728,2.454,41.434,Low fat yogurt
1.114,2.5668,4.502,5.477,4.37,2.433,41.384,Low fat yogurt
1.131,1.5682,4.514,5.368,5.215,2.424,40.355,Low fat yogurt
0.964,1.0184,4.455,5.117,4.027,2.581,41.279,Non fat yogurt
0.986,1.2402,4.581,5.979,5.332,2.402,41.414,Low fat yogurt
1.189,2.2803,4.447,5.567,5.798,2.653,41.815,Low fat yogurt
1.055,1.4142,4.431,4.127,4.312,2.524,41.332,Low fat yogurt
1.101,1.6896,4.597,5.877,5.421,2.572,41.65,Low fat yogurt
1.17,1.295,4.496,5.849,4.454,2.515,41.201,Low fat yogurt
1.086,3.9187,4.427,4.619,5.206,2.539,40.319,Regular yogurt
1.169,2.5728,4.421,4.538,5.497,2.607,40.685,Low fat yogurt
0.976,3.3045,4.555,5.146,5.936,2.443,40.958,Regular yogurt
1.069,1.845,4.45,5.85,5.712,2.629,41.822,Low fat yogurt
1.128,2.8546,4.408,4.743,4.195,2.461,41.515,Low fat yogurt
1.109,2.931,4.414,5.256,4.845,2.447,40.686,Low fat yogurt
1.053,3.7143,4.501,5.791,5.181,2.509,40.102,Regular yogurt
1.048,1.2118,4.57,5.425,5.591,2.691,41.131,Low fat yogurt
0.964,1.4995,4.519,4.939,5.568,2.675,41.551,Low fat yogurt
1.037,1.4474,4.505,5.201,4.046,2.668,41.866,Low fat yogurt
1.029,2.1128,4.429,5.102,5.085,2.434,41.555,Low fat yogurt
1.12,2.2741,4.598,5.083,4.706,2.472,40.559,Low fat yogurt
1.007,2.7657,4.568,5.654,4.968,2.652,41.162,Low fat yogurt
1.117,2.6753,4.409,4.179,5.886,2.598,41.017,Low fat yogurt
0.982,2.9142,4.582,5.89,4.109,2.64,41.089,Low fat yogurt
1.105,1.234,4.542,5.694,4.836,2.531,40.27,Low fat yogurt
1.012,2.6443,4.42,5.389,5.57,2.544,40.053,Low fat yogurt
1.184,2.0973,4.411,5.661,5.681,2.566,41.814,Low fat yogurt
1.134,1.5777,4.481,4.228,4.736,2.592,40.324,Low fat yogurt
1.013,1.8867,4.576,5.214,4.912,2.567,40.085,Low fat yogurt
1.133,3.6723,4.485,4.955,5.874,2.656,40.012,Regular yogurt
0.984,3.3491,4.453,5.284,5.466,2.56,40.13,Regular yogurt
0.991,3.507,4.417,4.412,5.571,2.4,41.872,Regular yogurt
1.177,1.7646,4.542,4.078,4.366,2.558,40.674,Low fat yogurt
0.998,2.6786,4.43,5.989,5.969,2.497,41.614,Low fat yogurt
1.181,3.0603,4.533,5.219,4.791,2.61,41.31,Low fat yogurt
1.182,2.2476,4.409,4.81,4.479,2.413,40.771,Low fat yogurt
1.026,2.8211,4.434,5.723,4.657,2.455,40.404,Low fat yogurt
1.157,1.6107,4.426,5.369,4.628,2.56,41.613,Low fat yogurt
1.045,3.9082,4.438,5.428,5.688,2.471,41.942,Regular yogurt
0.973,1.5449,4.563,4.6,4.299,2.488,40.842,Low fat yogurt
1.103,3.3599,4.424,4.442,4.096,2.491,41.524,Regular yogurt
1.187,2.9943,4.438,5.808,5.212,2.536,40.1,Low fat yogurt
1.132,2.7064,4.526,4.471,4.132,2.559,41.864,Low fat yogurt
1.049,2.5464,4.444,4.847,4.582,2.473,41.068,Low fat yogurt
1.155,1.735,4.557,5.911,5.63,2.57,41.655,Low fat yogurt
1.166,2.7576,4.485,4.292,4.828,2.698,41.428,Low fat yogurt
1.152,3.5478,4.561,5.577,5.192,2.506,40.28,Regular yogurt
1.188,1.6322,4.576,4.193,4.956,2.435,41.453,Low fat yogurt
1.001,1.4102,4.569,4.504,5.333,2.629,40.212,Low fat yogurt
1.016,2.3235,4.565,5.348,4.1,2.659,41.714,Low fat yogurt
1.07,3.5071,4.428,5.599,4.242,2.409,41.085,Regular yogurt
1.013,3.6639,4.436,4.711,5.415,2.474,40.115,Regular yogurt
1.069,3.3754,4.571,4.878,5.122,2.466,40.016,Regular yogurt
1.012,1.573,4.527,5.954,4.777,2.677,41.517,Low fat yogurt
0.967,2.3575,4.57,5.956,5.783,2.471,40.212,Low fat yogurt
0.961,3.1129,4.511,4.096,4.835,2.671,40.921,Low fat yogurt
1.132,3.6304,4.546,5.902,4.438,2.444,40.034,Regular yogurt
1.159,3.881,4.588,4.048,5.277,2.55,40.251,Regular yogurt
1.071,1.3199,4.432,4.256,4.257,2.507,41.736,Low fat yogurt
1.033,2.1883,4.451,4.957,5.974,2.636,41.502,Low fat yogurt
1.182,2.489,4.485,5.551,4.128,2.688,40.38,Low fat yogurt
0.964,3.7438,4.577,5.877,5.079,2.518,40.934,Regular yogurt
1.136,3.1333,4.42,5.066,5.112,2.674,40.834,Low fat yogurt
1.148,2.7232,4.508,5.681,4.402,2.418,40.183,Low fat yogurt
0.96,2.9035,4.421,4.111,5.593,2.695,40.695,Low fat yogurt
1.063,2.4195,4.596,5.393,4.724,2.445,41.04,Low fat yogurt
1.176,2.4718,4.422,5.725,5.577,2.626,41.675,Low fat yogurt
1.119,1.7517,4.462,4.971,5.673,2.666,40.721,Low fat yogurt
1.156,1.5529,4.551,5.535,5.337,2.522,41.186,Low fat yogurt
0.993,2.2261,4.404,5.026,5.925,2.568,40.388,Low fat yogurt
1.06,1.0554,4.429,5.823,4.582,2.682,40.461,Non fat yogurt
1.152,3.7038,4.468,4.162,4.631,2.649,41.481,Regular yogurt
1.137,2.2552,4.524,4.553,4.42,2.457,41.22,Low fat yogurt
1.027,1.2662,4.461,4.115,5.47,2.598,40.933,Low fat yogurt
0.972,3.6763,4.45,5.565,4.739,2.618,40.991,Regular yogurt
0.974,1.6424,4.43,5.297,5.718,2.639,40.695,Low fat yogurt
1.021,2.0664,4.548,5.839,5.921,2.622,40.914,Low fat yogurt
0.996,3.0381,4.487,5.731,4.128,2.592,41.674,Low fat yogurt
1.16,2.3024,4.548,5.317,4.707,2.6,40.998,Low fat yogurt
1.062,3.3265,4.449,5.595,5.797,2.451,40.349,Regular yogurt
1.162,1.9369,4.553,5.48,4.028,2.675,40.151,Low fat yogurt
0.962,2.1648,4.487,4.569,5.056,2.504,40.142,Low fat yogurt
0.98,3.2103,4.41,5.578,5.173,2.563,40.216,Low fat yogurt
1.076,1.732,4.419,4.235,4.415,2.612,40.701,Low fat yogurt
1.073,2.1514,4.457,4.409,4.757,2.411,41.346,Low fat yogurt
1.177,1.1383,4.545,4.546,4.351,2.595,41.518,Low fat yogurt
0.98,2.3519,4.555,4.181,4.179,2.405,40.803,Low fat yogurt
1.112,1.0576,4.441,4.794,4.141,2.591,41.893,Non fat yogurt
0.995,3.5232,4.44,4.286,5.161,2.556,40.254,Regular yogurt
1.153,1.0106,4.597,5.646,5.475,2.46,41.018,Non fat yogurt
1.064,1.6815,4.443,5.571,4.977,2.442,40.76,Low fat yogurt
1.066,1.9508,4.432,4.622,4.607,2.554,40.177,Low fat yogurt
1.116,3.3755,4.505,4.404,5.109,2.597,41.25,Regular yogurt
0.961,2.4394,4.491,4.485,4.626,2.455,40.412,Low fat yogurt
1.033,3.5883,4.464,5.963,4.749,2.401,40.0,Regular yogurt
0.997,3.0064,4.513,5.225,5.626,2.483,41.684,Low fat yogurt
0.991,3.095,4.468,4.928,4.542,2.651,41.346,Low fat yogurt
0.982,2.7185,4.451,4.974,5.434,2.468,40.542,Low fat yogurt
0.992,2.9521,4.462,4.012,4.967,2.503,41.969,Low fat yogurt
1.146,2.5659,4.523,4.137,5.463,2.592,41.708,Low fat yogurt
1.004,3.8316,4.559,5.92,4.252,2.483,40.538,Regular yogurt
1.104,2.5769,4.416,5.352,4.056,2.65,40.307,Low fat yogurt
1.058,3.7278,4.4,5.218,5.71,2.575,40.559,Regular yogurt
1.073,1.5101,4.576,5.228,4.496,2.589,40.707,Low fat yogurt
1.167,2.5676,4.464,4.352,4.478,2.4,41.532,Low fat yogurt
1.159,1.9661,4.457,4.792,5.538,2.561,41.757,Low fat yogurt
1.024,1.5377,4.538,5.71,5.242,2.428,41.508,Low fat yogurt
1.154,1.6086,4.428,4.769,5.899,2.52,40.199,Low fat yogurt
1.117,3.2813,4.445,4.62,4.952,2.579,40.059,Regular yogurt
1.099,1.0536,4.41,4.887,4.231,2.665,41.092,Non fat yogurt
1.161,3.7057,4.534,5.892,5.23,2.496,41.766,Regular yogurt
1.15,2.0998,4.556,5.448,4.452,2.598,40.194,Low fat yogurt
1.141,3.8681,4.512,4.17,4.956,2.429,41.271,Regular yogurt
1.138,1.3312,4.485,5.557,4.193,2.44,40.337,Low fat yogurt
1.048,1.8193,4.459,4.923,5.723,2.576,40.007,Low fat yogurt
0.985,2.55,4.542,5.072,5.181,2.567,41.859,Low fat yogurt
1.177,3.8011,4.433,4.752,4.927,2.461,41.804,Regular yogurt
0.971,3.7646,4.476,4.554,4.506,2.655,40.81,Regular yogurt
0.967,1.591,4.437,4.94,4.017,2.576,40.787,Low fat yogurt
1.123,1.4401,4.574,4.588,5.377,2.462,41.055,Low fat yogurt
1.07,1.3434,4.55,5.773,4.172,2.486,41.356,Low fat yogurt
1.043,2.4163,4.53,5.25,5.468,2.548,40.09,Low fat yogurt
1.076,2.9429,4.509,5.477,4.459,2.598,40.867,Low fat yogurt
1.042,3.1862,4.572,5.615,4.281,2.483,40.589,Low fat yogurt
1.111,2.3722,4.504,5.421,5.153,2.491,41.258,Low fat yogurt
1.091,3.6814,4.433,5.806,4.906,2.548,41.661,Regular yogurt
0.989,2.6456,4.582,5.207,4.863,2.479,40.275,Low fat yogurt
1.09,1.8981,4.545,4.044,5.486,2.624,41.356,Low fat yogurt
1.115,1.6642,4.402,4.491,4.254,2.522,41.736,Low fat yogurt
1.048,3.2167,4.53,5.038,4.376,2.448,41.167,Low fat yogurt
1.154,2.0351,4.56,4.305,5.573,2.592,40.428,Low fat yogurt
1.05,3.328,4.488,4.149,4.564,2.659,40.945,Regular yogurt
0.989,1.5419,4.437,4.768,5.736,2.411,41.22,Low fat yogurt
1.001,1.7237,4.478,5.085,4.016,2.419,40.026,Low fat yogurt
1.098,3.0889,4.501,4.585,4.867,2.68,41.331,Low fat yogurt
0.979,3.4605,4.533,4.193,4.799,2.562,41.0,Regular yogurt
